customer_id,name,age,gender,location,salary,signup_date,referral_source,customer_status,preferred_device,avg_session_time,app_version,total_purchases,total_spend
1,Customer_1,56,Male,Tier 2,115159.21,2024-10-25 00:07:28.144311,Organic,Active,Desktop,7.5,v3.7.4,3,257.15
2,Customer_2,20,Female,Metro,146088.28,2024-11-25 00:07:28.144311,Ad Campaign,New,Mobile,20.44,v2.5.8,16,2899.1
3,Customer_3,59,Non-binary,Tier 1,31778.84,2024-10-24 00:07:28.144311,Referral,Active,Mobile,6.16,v3.6.4,8,530.1
4,Customer_4,21,Male,Rural,93227.47,2024-12-16 00:07:28.144311,Ad Campaign,New,Desktop,22.08,v1.7.2,13,1920.95
5,Customer_5,67,Female,Tier 1,87608.84,2024-12-21 00:07:28.144311,Ad Campaign,New,Tablet,24.38,v2.3.7,13,1286.94
6,Customer_6,57,Male,Rural,117151.61,2024-11-02 00:07:28.144311,Social Media,Active,Mobile,8.52,v3.0.8,6,935.1
7,Customer_7,18,Non-binary,Tier 2,45849.51,2024-12-17 00:07:28.144311,Referral,Active,Desktop,6.85,v3.8.6,8,1646.6
8,Customer_8,51,Male,Rural,68206.37,2024-10-24 00:07:28.144311,Social Media,Active,Tablet,27.18,v1.2.4,14,3196.36
9,Customer_9,18,Male,Tier 1,50678.04,2024-12-11 00:07:28.144311,Referral,New,Desktop,15.69,v2.2.6,16,2057.42
10,Customer_10,49,Female,Metro,52407.99,2024-12-10 00:07:28.144311,Referral,Active,Mobile,6.92,v3.2.5,1,206.09
11,Customer_11,23,Female,Tier 1,90114.49,2024-09-27 00:07:28.144311,Referral,Inactive,Mobile,10.7,v2.8.3,12,3182.19
12,Customer_12,56,Female,Rural,89431.62,2024-10-24 00:07:28.144311,Organic,Active,Tablet,13.44,v3.5.7,8,1207.67
13,Customer_13,66,Female,Rural,52093.89,2024-11-16 00:07:28.144311,Ad Campaign,Active,Mobile,12.12,v1.0.1,1,152.76
14,Customer_14,40,Male,Rural,138074.57,2024-12-06 00:07:28.144311,Ad Campaign,Active,Tablet,29.64,v3.3.6,10,1424.14
15,Customer_15,34,Non-binary,Tier 1,67811.81,2024-10-16 00:07:28.144311,Ad Campaign,Active,Mobile,8.77,v3.5.2,19,2498.3
16,Customer_16,53,Non-binary,Tier 1,86572.1,2024-12-06 00:07:28.144311,Social Media,Active,Mobile,22.27,v3.1.7,0,0.0
17,Customer_17,42,Female,Tier 2,90388.24,2024-11-13 00:07:28.144311,Referral,Active,Tablet,29.55,v1.1.0,15,4370.32
18,Customer_18,22,Male,Rural,102303.19,2024-12-16 00:07:28.144311,Organic,Active,Desktop,26.41,v2.7.0,19,1349.66
19,Customer_19,25,Female,Rural,98835.78,2024-09-27 00:07:28.144311,Referral,Inactive,Tablet,9.02,v2.1.5,2,425.98
20,Customer_20,58,Male,Rural,50842.38,2024-12-04 00:07:28.144311,Social Media,Active,Desktop,23.02,v1.2.5,13,2567.08
21,Customer_21,55,Male,Tier 2,135966.05,2024-11-28 00:07:28.144311,Referral,Active,Tablet,21.13,v3.0.4,15,1802.9
22,Customer_22,52,Male,Rural,43024.39,2024-11-25 00:07:28.144311,Organic,Active,Tablet,14.25,v1.4.7,16,3011.06
23,Customer_23,48,Non-binary,Rural,130891.23,2024-10-23 00:07:28.144311,Organic,Active,Desktop,11.71,v3.1.8,9,2556.35
24,Customer_24,20,Female,Rural,47159.43,2024-11-08 00:07:28.144311,Ad Campaign,Active,Desktop,17.96,v2.0.7,0,0.0
25,Customer_25,65,Non-binary,Metro,58546.32,2024-11-29 00:07:28.144311,Referral,Active,Mobile,7.04,v3.8.3,12,1182.82
26,Customer_26,25,Female,Rural,26599.91,2024-09-29 00:07:28.144311,Referral,Active,Tablet,15.96,v3.5.2,16,949.39
27,Customer_27,23,Non-binary,Tier 1,89820.72,2024-12-17 00:07:28.144311,Organic,Active,Mobile,16.43,v2.3.2,7,1620.66
28,Customer_28,30,Female,Rural,112897.36,2024-12-06 00:07:28.144311,Organic,Active,Desktop,15.97,v3.4.4,8,1777.0
29,Customer_29,18,Female,Tier 1,40336.82,2024-11-21 00:07:28.144311,Social Media,Active,Mobile,21.5,v1.0.6,4,811.72
30,Customer_30,20,Female,Rural,40624.04,2024-09-30 00:07:28.144311,Organic,Active,Mobile,7.35,v2.3.4,11,597.19
31,Customer_31,43,Male,Tier 2,65019.56,2024-12-02 00:07:28.144311,Ad Campaign,Active,Mobile,27.17,v3.2.0,4,883.96
